County,ZIP Code,Total Properties,Total Population,Median Income,Median Property Value,Total Insurer-Initiated Nonrenewals (2015 - 2021),Percent Total Nonrenewals Over Period to Total Properties (2015-2021),Absolute Change in Insurer-Initiated Nonrenewals (2015 - 2021),Percent Change in Insurer-Initiated Nonrenewals (2015 - 2021),Percent Nonrenewals of Total Properties (2021),2015_New,2015_Renewed,2015_Insured-Initiated Nonrenewed,2015_Insurer-Initiated Nonrenewed,2015_ins_owner_nr_ratio,2015_new_ins_nr_ratio,2021_New,2021_Renewed,2021_Insured-Initiated Nonrenewed,2021_Insurer-Initiated Nonrenewed,2021_ins_owner_nr_ratio,2021_new_ins_nr_ratio
San Bernardino,92325,"8,591","7,948","$32,231","$261,200","2,917",33.95,805,774.04,10.58,185,3915,392,104,0.26530612244898,1.77884615384615,744,3067,604,909,1.50496688741722,0.818481848184818
San Bernardino,92352,"10,729","5,578","$31,580","$440,600","5,018",46.77,"1,198",763.06,12.63,364,5993,622,157,0.252411575562701,2.31847133757962,1053,4881,1105,1355,1.2262443438914,0.777121771217712
San Bernardino,92333,"1,877",392,"$33,947","$406,100",410,21.84,107,629.41,6.61,30,661,44,17,0.386363636363636,1.76470588235294,67,563,71,124,1.74647887323944,0.540322580645161
San Bernardino,92391,"1,998","1,959","$24,779","$267,100",683,34.18,204,582.86,11.96,45,876,74,35,0.472972972972973,1.28571428571429,198,672,175,239,1.36571428571429,0.828451882845188
Fresno,93234,"1,953","7,355","$16,171","$163,000",302,15.46,19,475.00,1.18,37,507,32,4,0.125,9.25,102,526,56,23,0.410714285714286,4.43478260869565
El Dorado,95709,"2,545","5,498","$33,920","$397,500","1,084",42.59,175,416.67,8.53,160,1589,135,42,0.311111111111111,3.80952380952381,384,1307,209,217,1.03827751196172,1.76958525345622
San Bernardino,92382,"6,516","4,462","$27,563","$260,600","1,947",29.88,328,385.88,6.34,126,2599,214,85,0.397196261682243,1.48235294117647,385,2309,420,413,0.983333333333333,0.932203389830508
Placer,96146,"2,785","1,145","$38,942","$911,900",553,19.86,178,378.72,8.08,51,887,48,47,0.979166666666667,1.08510638297872,166,896,117,225,1.92307692307692,0.737777777777778
San Bernardino,92386,"3,810","2,248","$28,503","$200,000","1,653",43.39,261,372.86,8.69,181,2078,196,70,0.357142857142857,2.58571428571429,283,1835,336,331,0.985119047619048,0.854984894259819
Riverside,92549,"5,771","2,517","$34,364","$335,100","2,029",35.16,201,372.22,4.42,200,2876,275,54,0.196363636363636,3.7037037037037,298,2543,402,255,0.634328358208955,1.16862745098039
San Bernardino,92315,"11,083","5,247","$27,839","$392,200","5,114",46.14,710,349.75,8.24,406,6168,555,203,0.365765765765766,2,665,5371,1014,913,0.900394477317554,0.728368017524644
Los Angeles,91390,"8,744","19,168","$44,593","$593,600","3,358",38.40,305,346.59,4.49,527,4522,423,88,0.208037825059102,5.98863636363636,868,4419,609,393,0.645320197044335,2.20865139949109
San Bernardino,92341,"1,568",222,"$21,667","$255,500",482,30.74,62,344.44,5.10,21,701,60,18,0.3,1.16666666666667,69,589,92,80,0.869565217391304,0.8625
San Diego,92065,"12,755","37,505","$38,365","$515,000","6,573",51.53,630,340.54,6.39,1019,8966,770,185,0.24025974025974,5.50810810810811,1671,8342,1093,815,0.745654162854529,2.05030674846626
Riverside,92276,"5,442","6,748","$26,930","$181,600","2,159",39.67,217,333.85,5.18,472,2623,254,65,0.255905511811024,7.26153846153846,701,2424,348,282,0.810344827586207,2.48581560283688
Los Angeles,90077,"4,864","8,382","$86,349","$2,000,001","1,507",30.98,291,312.90,7.89,291,2583,214,93,0.434579439252336,3.12903225806452,580,2198,311,384,1.23472668810289,1.51041666666667
Orange,92610,"3,305","16,360","$59,440","$739,700","2,027",61.33,109,294.59,4.42,284,2429,224,37,0.165178571428571,7.67567567567568,439,2667,329,146,0.443768996960486,3.00684931506849
Orange,92679,"11,330","32,657","$63,167","$890,700","6,725",59.36,586,291.54,6.95,989,8265,797,201,0.252195734002509,4.92039800995025,1694,7555,1147,787,0.68613775065388,2.15247776365947
El Dorado,95762,"20,362","43,052","$59,027","$639,100","12,361",60.71,654,275.95,4.38,1912,12242,1419,237,0.167019027484144,8.06751054852321,3055,13900,2080,891,0.428365384615385,3.4287317620651
Fresno,93664,"3,325",380,"$53,478","$560,500",856,25.74,144,271.70,5.92,75,1355,105,53,0.504761904761905,1.41509433962264,129,1138,175,197,1.12571428571429,0.654822335025381
Los Angeles,93532,"3,370","2,683","$36,453","$294,800",498,14.78,75,267.86,3.06,84,811,71,28,0.394366197183099,3,134,701,86,103,1.19767441860465,1.30097087378641
Kern,93285,"3,822","2,477","$19,750","$109,100",965,25.25,103,257.50,3.74,119,1431,102,40,0.392156862745098,2.975,112,1098,157,143,0.910828025477707,0.783216783216783
Contra Costa,94549,"10,366","29,795","$71,132","$1,361,100","4,861",46.89,439,252.30,5.91,826,8310,659,174,0.264036418816388,4.74712643678161,1481,7776,942,613,0.650743099787686,2.41598694942904
Los Angeles,91350,"11,890","36,173","$46,738","$543,200","7,031",59.13,407,248.17,4.80,1180,9022,846,164,0.193853427895981,7.19512195121951,1936,9907,1198,571,0.476627712854758,3.39054290718039
Riverside,92561,"3,595","1,462","$28,098","$332,200",622,17.30,51,242.86,2.00,72,621,71,21,0.295774647887324,3.42857142857143,104,708,128,72,0.5625,1.44444444444444
Amador,95665,"2,548","4,303","$33,638","$310,300","1,017",39.91,114,242.55,6.32,96,1649,123,47,0.382113821138211,2.04255319148936,275,1404,212,161,0.759433962264151,1.70807453416149
